 Case6_2
 Blade row:           1
 Non-dimensional quantities:
 section    m'sLE             m'sTE              m'blade_LE          m'blade_TEchord             pitch          
 1   0.3199720158356703  0.9634765424476125 -0.1608761316529856  0.4826283949589567  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.1463288187166667  0.4389864561500000  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.1343213333591680  0.4029640000775041  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.1242400991006353  0.3727202973019060  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.1156729966802194  0.3470189900406582  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.1083335115306525  0.3250005345919575  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.1019534940832963  0.3058604822498888  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.0963615766852932  0.2890847300558796  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.0914129393678738  0.2742388181036213  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0869951408389344  0.2609854225168031  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0830210801516781  0.2490632404550343  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0794226591998538  0.2382679775995613  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0761441057555587  0.2284323172666761  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0731424644235781  0.2194273932707344  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0703819300441703  0.2111457901325109  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0678292368775714  0.2034877106327143  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0654537083054216  0.1963611249162648  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0632251894570703  0.1896755683712108  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0611107914420994  0.1833323743262983  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0590607699436284  0.1771823098308851  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0568793641262044  0.1706380923786131  0.2275174565048175  0.3141592653589793
