 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.0857145251984664  0.2571435755953992  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.0776168601800389  0.2328505805401167  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.0708959990725808  0.2126879972177425  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.0652425504705403  0.1957276514116207  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.0604365378705919  0.1813096136117757  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.0563226820155723  0.1689680460467169  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.0527589682171144  0.1582769046513432  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.0496707666764716  0.1490123000294149  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.0469985821263244  0.1409957463789732  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0446951939915232  0.1340855819745697  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0427232823466912  0.1281698470400736  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0410606379250415  0.1231819137751245  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0397209352369827  0.1191628057109480  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0387255996447775  0.1161767989343324  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0380934661926587  0.1142803985779762  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0378415523231873  0.1135246569695618  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0379749902617548  0.1139249707852643  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0384197970581181  0.1152593911743541  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0390822885147937  0.1172468655443810  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0398858215847512  0.1196574647542535  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0408024425406071  0.1224073276218212  0.2275174565048175  0.3141592653589793
