 Case6_2
 Blade row:            1
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   0.3199720158356703  0.9634765424476125 -0.1329948340142100  0.3989845020426301  0.6435045266119422  0.3141592653589793
 2   0.1959106181297242  0.7812258929963909 -0.1206218209935567  0.3618654629806700  0.5853152748666667  0.3141592653589793
 3   0.1885847255424737  0.7258700589791458 -0.1103720484809708  0.3311161454429125  0.5372853334366722  0.3141592653589793
 4   0.1820222881986386  0.6789826846011798 -0.1017557994678946  0.3052673984036839  0.4969603964025413  0.3141592653589793
 5   0.1761447045745256  0.6388366912954032 -0.0944319786391465  0.2832959359174395  0.4626919867208776  0.3141592653589793
 6   0.1708959512469096  0.6042299973695195 -0.0881611022189594  0.2644833066568781  0.4333340461226100  0.3141592653589793
 7   0.1662126501302790  0.5740266264634641 -0.0827223483380391  0.2481670450141174  0.4078139763331851  0.3141592653589793
 8   0.1620268676130715  0.5474731743542444 -0.0779907235081044  0.2339721705243132  0.3854463067411729  0.3141592653589793
 9   0.1582670424058416  0.5239187998773366 -0.0738641709408955  0.2215925128226866  0.3656517574714950  0.3141592653589793
10   0.1548745556716130  0.5028551190273506 -0.0702624243946394  0.2107872731839181  0.3479805633557376  0.3141592653589793
11   0.1517971523410568  0.4838814729477692 -0.0671225656179650  0.2013676968538952  0.3320843206067124  0.3141592653589793
12   0.1489902489490902  0.4666808857485054 -0.0644023718128041  0.1932071154384122  0.3176906367994151  0.3141592653589793
13   0.1464164111739456  0.4509928341961804 -0.0620991264430406  0.1862973793291218  0.3045764230222348  0.3141592653589793
14   0.1440438955294616  0.4366137532237742 -0.0602216305970305  0.1806648917910915  0.2925698576943125  0.3141592653589793
15   0.1418457553299717  0.4233734755066528 -0.0587781964465806  0.1763345893397419  0.2815277201766812  0.3141592653589793
16   0.1397996488710591  0.4111165963813447 -0.0577760648786319  0.1733281946358956  0.2713169475102857  0.3141592653589793
17   0.1378862318107274  0.3997010650324138 -0.0572113524866449  0.1716340574599346  0.2618148332216864  0.3141592653589793
18   0.1360879315013912  0.3889886893296722 -0.0570012140262498  0.1710036420787493  0.2529007578282810  0.3141592653589793
19   0.1343929219210368  0.3788360876894346 -0.0570422994975872  0.1711268984927617  0.2444431657683978  0.3141592653589793
20   0.1328053102637420  0.3690483900382555 -0.0572433463657028  0.1717300390971084  0.2362430797745135  0.3141592653589793
21   0.1386518623244450  0.3661693188292626 -0.0575188682371853  0.1725566047115560  0.2275174565048175  0.3141592653589793
