 Case6_4_3
 Blade row:            2
 Non-dimensional quantities: 
 section    m'sLE           m'sTE           m'blade_LE          m'blade_TE chord           pitch      
 1   1.4492509286084496  2.4010917303934192 -0.2379602004462424  0.7138806013387272  0.9518408017849695  0.3926990816987241
 2   1.2132289380906900  2.0335600736159920 -0.2050827838813255  0.6152483516439765  0.8203311355253020  0.3926990816987241
 3   1.1194620331327925  1.8487869274137614 -0.1823312235702422  0.5469936707107267  0.7293248942809689  0.3926990816987241
 4   1.0422237369634304  1.6986799095563558 -0.1641140431482314  0.4923421294446940  0.6564561725929254  0.3926990816987241
 5   0.9771907085370927  1.5729250361703400 -0.1489335819083118  0.4468007457249354  0.5957343276332473  0.3926990816987241
 6   0.9224791439701261  1.4670273850101090 -0.1361370602599957  0.4084111807799872  0.5445482410399829  0.3926990816987241
 7   0.8735938316014306  1.3755896736675719 -0.1254989605165353  0.3764968815496060  0.5019958420661413  0.3926990816987241
 8   0.8335655716571299  1.2964777715937841 -0.1157280499841636  0.3471841499524907  0.4629121999366542  0.3926990816987241
 9   0.7974536850323886  1.2271380233296754 -0.1074210845743217  0.3222632537229651  0.4296843382972868  0.3926990816987241
10   0.7654318767802339  1.1656401190376011 -0.1000520605643418  0.3001561816930254  0.4002082422573672  0.3926990816987241
11   0.7368002436168142  1.1105054355871466 -0.0934262979925831  0.2802788939777494  0.3737051919703325  0.3926990816987241
12   0.7109641264313322  1.0605836339885280 -0.0874048768892989  0.2622146306678968  0.3496195075571957  0.3926990816987241
13   0.6874833620654046  1.0151712922185487 -0.0819219825382860  0.2457659476148581  0.3276879301531441  0.3926990816987241
14   0.6660394573712182  0.9738493600775909 -0.0769524756765932  0.2308574270297795  0.3078099027063728  0.3926990816987241
15   0.6463572523117839  0.9361382776168670 -0.0724452563262708  0.2173357689788123  0.2897810253050831  0.3926990816987241
16   0.6281311316243038  0.9013081608762705 -0.0682942573129917  0.2048827719389751  0.2731770292519667  0.3926990816987241
17   0.6111076634003738  0.8687759719311062 -0.0644170771326831  0.1932512313980493  0.2576683085307324  0.3926990816987241
18   0.5950459110985882  0.8379973284402115 -0.0607378543354058  0.1822135630062175  0.2429514173416233  0.3926990816987241
19   0.5797241027562369  0.8085083392254908 -0.0571960591173135  0.1715881773519405  0.2287842364692539  0.3926990816987241
20   0.5648137968226667  0.7796060051356219 -0.0536980520782388  0.1610941562347164  0.2147922083129552  0.3926990816987241
21   0.5562966848367621  0.7556787443234833 -0.0498455148716803  0.1495365446150409  0.1993820594867212  0.3926990816987241
